l_dm,t_ms,v_m_s,p_MPa,pd_MPa,pt_MPa,psi,Z,label
32.5620,17.3738,268.89,4.82,18.47,-8.83,1.000000,1.500001,
32.6085,17.3911,268.96,4.81,18.45,-8.82,1.000000,1.500001,
32.6550,17.4084,269.03,4.81,18.43,-8.82,1.000000,1.500001,
32.7016,17.4257,269.10,4.80,18.41,-8.81,1.000000,1.500001,
32.7481,17.4430,269.16,4.79,18.39,-8.81,1.000000,1.500001,
32.7946,17.4603,269.23,4.79,18.37,-8.80,1.000000,1.500001,
32.8412,17.4776,269.30,4.78,18.35,-8.80,1.000000,1.500001,
32.8877,17.4949,269.36,4.77,18.33,-8.79,1.000000,1.500001,
32.9343,17.5121,269.43,4.76,18.31,-8.79,1.000000,1.500001,
32.9809,17.5294,269.50,4.76,18.29,-8.78,1.000000,1.500001,
33.0275,17.5467,269.57,4.75,18.27,-8.78,1.000000,1.500001,
33.0741,17.5640,269.63,4.74,18.26,-8.77,1.000000,1.500001,
33.1207,17.5813,269.70,4.74,18.24,-8.76,1.000000,1.500001,
33.1673,17.5986,269.76,4.73,18.22,-8.76,1.000000,1.500001,
33.2140,17.6159,269.83,4.72,18.20,-8.75,1.000000,1.500001,
33.2606,17.6332,269.90,4.71,18.18,-8.75,1.000000,1.500001,
33.3073,17.6504,269.96,4.71,18.16,-8.74,1.000000,1.500001,
33.3540,17.6677,270.03,4.70,18.14,-8.74,1.000000,1.500001,
33.4006,17.6850,270.10,4.69,18.12,-8.73,1.000000,1.500001,
33.4473,17.7023,270.16,4.69,18.10,-8.73,1.000000,1.500001,
33.4941,17.7196,270.23,4.68,18.08,-8.72,1.000000,1.500001,
33.5408,17.7369,270.29,4.67,18.06,-8.72,1.000000,1.500001,
33.5875,17.7542,270.36,4.67,18.04,-8.71,1.000000,1.500001,
33.6343,17.7715,270.42,4.66,18.02,-8.71,1.000000,1.500001,
33.6810,17.7887,270.49,4.65,18.01,-8.70,1.000000,1.500001,
33.7278,17.8060,270.56,4.64,17.99,-8.70,1.000000,1.500001,
33.7746,17.8233,270.62,4.64,17.97,-8.69,1.000000,1.500001,
33.8213,17.8406,270.69,4.63,17.95,-8.69,1.000000,1.500001,
33.8681,17.8579,270.75,4.62,17.93,-8.68,1.000000,1.500001,
33.9150,17.8752,270.82,4.62,17.91,-8.68,1.000000,1.500001,
33.9618,17.8925,270.88,4.61,17.89,-8.67,1.000000,1.500001,
34.0086,17.9098,270.95,4.60,17.87,-8.67,1.000000,1.500001,
34.0555,17.9270,271.01,4.60,17.85,-8.66,1.000000,1.500001,
34.1023,17.9443,271.08,4.59,17.84,-8.66,1.000000,1.500001,
34.1492,17.9616,271.14,4.58,17.82,-8.65,1.000000,1.500001,
34.1961,17.9789,271.20,4.58,17.80,-8.65,1.000000,1.500001,
34.2429,17.9962,271.27,4.57,17.78,-8.64,1.000000,1.500001,
34.2898,18.0135,271.33,4.56,17.76,-8.64,1.000000,1.500001,
34.3368,18.0308,271.40,4.56,17.74,-8.63,1.000000,1.500001,
34.3837,18.0481,271.46,4.55,17.72,-8.63,1.000000,1.500001,
34.4306,18.0653,271.52,4.54,17.71,-8.62,1.000000,1.500001,
34.4776,18.0826,271.59,4.54,17.69,-8.62,1.000000,1.500001,
34.5245,18.0999,271.65,4.53,17.67,-8.61,1.000000,1.500001,
34.5715,18.1172,271.72,4.52,17.65,-8.60,1.000000,1.500001,
34.6185,18.1345,271.78,4.52,17.63,-8.60,1.000000,1.500001,
34.6655,18.1518,271.84,4.51,17.61,-8.59,1.000000,1.500001,
34.7125,18.1691,271.91,4.50,17.60,-8.59,1.000000,1.500001,
34.7595,18.1864,271.97,4.50,17.58,-8.58,1.000000,1.500001,
34.8065,18.2036,272.03,4.49,17.56,-8.58,1.000000,1.500001,
34.8535,18.2209,272.10,4.48,17.54,-8.57,1.000000,1.500001,
34.9006,18.2382,272.16,4.48,17.52,-8.57,1.000000,1.500001,
34.9476,18.2555,272.22,4.47,17.51,-8.56,1.000000,1.500001,
34.9947,18.2728,272.28,4.46,17.49,-8.56,1.000000,1.500001,
35.0418,18.2901,272.35,4.46,17.47,-8.55,1.000000,1.500001,
35.0888,18.3074,272.41,4.45,17.45,-8.55,1.000000,1.500001,
35.1359,18.3247,272.47,4.45,17.43,-8.54,1.000000,1.500001,
35.1831,18.3419,272.53,4.44,17.42,-8.54,1.000000,1.500001,
35.2302,18.3592,272.60,4.43,17.40,-8.53,1.000000,1.500001,
35.2773,18.3765,272.66,4.43,17.38,-8.53,1.000000,1.500001,
35.3244,18.3938,272.72,4.42,17.36,-8.52,1.000000,1.500001,
35.3716,18.4111,272.78,4.41,17.35,-8.52,1.000000,1.500001,
35.4188,18.4284,272.85,4.41,17.33,-8.51,1.000000,1.500001,
35.4659,18.4457,272.91,4.40,17.31,-8.51,1.000000,1.500001,
35.5131,18.4630,272.97,4.39,17.29,-8.50,1.000000,1.500001,
35.5603,18.4802,273.03,4.39,17.27,-8.50,1.000000,1.500001,
35.6075,18.4975,273.09,4.38,17.26,-8.49,1.000000,1.500001,
35.6547,18.5148,273.15,4.38,17.24,-8.49,1.000000,1.500001,
35.7020,18.5321,273.22,4.37,17.22,-8.48,1.000000,1.500001,
35.7492,18.5494,273.28,4.36,17.20,-8.48,1.000000,1.500001,
35.7964,18.5667,273.34,4.36,17.19,-8.47,1.000000,1.500001,
35.8437,18.5840,273.40,4.35,17.17,-8.47,1.000000,1.500001,
35.8910,18.6013,273.46,4.34,17.15,-8.46,1.000000,1.500001,
35.9382,18.6185,273.52,4.34,17.14,-8.46,1.000000,1.500001,
35.9855,18.6358,273.58,4.33,17.12,-8.45,1.000000,1.500001,
36.0328,18.6531,273.64,4.33,17.10,-8.45,1.000000,1.500001,
36.0802,18.6704,273.70,4.32,17.08,-8.44,1.000000,1.500001,
36.1275,18.6877,273.77,4.31,17.07,-8.44,1.000000,1.500001,
36.1748,18.7050,273.83,4.31,17.05,-8.43,1.000000,1.500001,
36.2221,18.7223,273.89,4.30,17.03,-8.43,1.000000,1.500001,
36.2400,18.7288,273.91,4.30,17.03,-8.43,1.000000,1.500001,炮口点
