t_ms,p_MPa
10.7701,9.86888
10.7873,9.84608
10.8046,9.82336
10.8219,9.80072
10.8392,9.77816
10.8565,9.75568
10.8738,9.73328
10.8911,9.71095
10.9084,9.68871
10.9256,9.66655
10.9429,9.64446
10.9602,9.62245
10.9775,9.60052
10.9948,9.57866
11.0121,9.55689
11.0294,9.53518
11.0467,9.51356
11.0639,9.49201
11.0812,9.47053
11.0985,9.44914
11.1158,9.42781
11.1331,9.40656
11.1504,9.38538
11.1677,9.36428
11.185,9.34325
11.2022,9.32229
11.2195,9.30141
11.2368,9.2806
11.2541,9.25986
11.2714,9.23919
11.2887,9.2186
11.306,9.19807
11.3233,9.17762
11.3405,9.15723
11.3578,9.13692
11.3751,9.11667
11.3924,9.0965
11.4097,9.07639
11.427,9.05636
11.4443,9.03639
11.4616,9.01649
11.4788,8.99666
11.4868,8.98759
11.4961,8.97685
11.5134,8.95707
11.5307,8.93736
11.548,8.91772
11.5653,8.89815
11.5826,8.87864
11.5999,8.8592
11.6171,8.83982
11.6344,8.82051
11.6517,8.80127
11.669,8.78209
11.6863,8.76298
11.7036,8.74393
11.7209,8.72495
11.7382,8.70603
11.7554,8.68717
11.7727,8.66838
11.79,8.64966
11.8073,8.63099
11.8246,8.61239
11.8419,8.59385
11.8592,8.57538
11.8765,8.55696
11.8937,8.53861
11.911,8.52032
11.9283,8.50209
11.9456,8.48392
11.9629,8.46582
11.9802,8.44777
11.9975,8.42979
12.0148,8.41186
12.032,8.39399
12.0493,8.37619
12.0666,8.35844
12.0839,8.34075
12.1012,8.32312
12.1185,8.30555
12.1358,8.28804
12.1531,8.27058
12.1703,8.25318
12.1876,8.23584
12.2049,8.21856
12.2222,8.20133
12.2395,8.18416
12.2568,8.16705
12.2741,8.15
12.2913,8.133
12.3086,8.11605
12.3259,8.09916
12.3432,8.08233
12.3605,8.06555
12.3778,8.04883
12.3951,8.03216
12.4124,8.01554
12.4296,7.99898
12.4469,7.98247
12.4642,7.96602
12.4815,7.94962
12.4988,7.93327
12.5161,7.91698
12.5334,7.90074
12.5507,7.88455
12.5679,7.86841
12.5852,7.85233
12.6025,7.8363
12.6198,7.82032
12.6371,7.80439
12.6544,7.78851
12.6717,7.77268
12.689,7.75691
12.7062,7.74118
12.7235,7.72551
12.7408,7.70988
12.7581,7.69431
12.7754,7.67878
12.7927,7.66331
12.81,7.64788
12.8273,7.6325
12.8445,7.61718
12.8618,7.6019
12.8791,7.58667
12.8964,7.57148
12.9137,7.55635
12.931,7.54126
12.9483,7.52622
12.9656,7.51123
12.9828,7.49629
13.0001,7.48139
13.0174,7.46654
13.0347,7.45173
13.052,7.43698
13.0693,7.42227
13.0866,7.4076
13.1039,7.39298
13.1211,7.37841
13.1384,7.36388
13.1557,7.3494
13.173,7.33496
13.1903,7.32057
13.2076,7.30622
13.2249,7.29192
13.2422,7.27766
13.2594,7.26345
13.2767,7.24928
13.294,7.23516
13.3113,7.22107
13.3286,7.20704
13.3459,7.19304
13.3632,7.17909
13.3805,7.16518
13.3977,7.15131
13.415,7.13749
13.4323,7.12371
13.4496,7.10997
13.4669,7.09628
13.4842,7.08262
13.5015,7.06901
13.5188,7.05544
13.536,7.04191
13.5533,7.02842
13.5706,7.01497
13.5879,7.00157
13.6052,6.9882
13.6225,6.97488
13.6398,6.96159
13.6571,6.94835
13.6743,6.93515
13.6916,6.92198
13.7089,6.90886
13.7262,6.89578
13.7435,6.88273
13.7608,6.86973
13.7781,6.85676
13.7954,6.84383
13.8126,6.83095
13.8299,6.8181
13.8472,6.80529
13.8645,6.79251
13.8818,6.77978
13.8991,6.76708
13.9164,6.75443
13.9337,6.74181
13.9509,6.72922
13.9682,6.71668
13.9855,6.70417
14.0028,6.6917
14.0201,6.67927
14.0374,6.66687
14.0547,6.65451
14.072,6.64219
14.0892,6.6299
14.1065,6.61765
14.1238,6.60544
14.1411,6.59326
14.1584,6.58112
14.1757,6.56902
14.193,6.55695
14.2103,6.54491
14.2275,6.53291
14.2448,6.52095
14.2621,6.50902
14.2794,6.49712
14.2967,6.48527
14.314,6.47344
14.3313,6.46165
14.3486,6.4499
14.3658,6.43817
14.3831,6.42649
14.4004,6.41483
14.4177,6.40321
14.435,6.39163
14.4523,6.38008
14.4696,6.36856
14.4869,6.35707
14.5041,6.34562
14.5214,6.3342
14.5387,6.32282
14.556,6.31146
14.5733,6.30014
14.5906,6.28886
14.6079,6.2776
14.6251,6.26638
14.6424,6.25519
14.6597,6.24403
14.677,6.2329
14.6943,6.22181
14.7116,6.21075
14.7289,6.19972
14.7462,6.18872
14.7634,6.17775
14.7807,6.16681
14.798,6.1559
14.8153,6.14503
14.8326,6.13419
14.8499,6.12337
14.8672,6.11259
14.8845,6.10184
14.9017,6.09112
14.919,6.08043
14.9363,6.06976
14.9536,6.05913
14.9709,6.04853
14.9882,6.03796
15.0055,6.02742
15.0228,6.01691
15.04,6.00643
15.0573,5.99597
15.0746,5.98555
15.0919,5.97516
15.1092,5.96479
15.1265,5.95445
15.1438,5.94415
15.1611,5.93387
15.1783,5.92362
15.1956,5.9134
15.2129,5.9032
15.2302,5.89304
15.2475,5.8829
15.2648,5.87279
15.2821,5.86271
15.2994,5.85266
15.3166,5.84264
15.3339,5.83264
15.3512,5.82267
15.3685,5.81273
15.3858,5.80282
15.4031,5.79293
15.4204,5.78307
15.4377,5.77324
15.4549,5.76343
15.4722,5.75365
15.4895,5.7439
15.5068,5.73418
15.5241,5.72448
15.5414,5.7148
15.5587,5.70516
15.576,5.69554
15.5932,5.68595
15.6105,5.67638
15.6278,5.66684
15.6451,5.65732
15.6624,5.64783
15.6797,5.63837
15.697,5.62893
15.7143,5.61952
15.7315,5.61013
15.7488,5.60077
15.7661,5.59144
15.7834,5.58212
15.8007,5.57284
15.818,5.56358
15.8353,5.55434
15.8526,5.54513
15.8698,5.53594
15.8871,5.52678
15.9044,5.51765
15.9217,5.50853
15.939,5.49944
15.9563,5.49038
15.9736,5.48134
15.9909,5.47232
16.0081,5.46333
16.0254,5.45437
16.0427,5.44542
16.06,5.4365
16.0773,5.4276
16.0946,5.41873
16.1119,5.40988
16.1292,5.40106
16.1464,5.39225
16.1637,5.38347
16.181,5.37472
16.1983,5.36599
16.2156,5.35728
16.2329,5.34859
16.2502,5.33992
16.2675,5.33128
16.2847,5.32266
16.302,5.31407
16.3193,5.3055
16.3366,5.29694
16.3539,5.28842
16.3712,5.27991
16.3885,5.27143
16.4058,5.26296
16.423,5.25452
16.4403,5.24611
16.4576,5.23771
16.4749,5.22933
16.4922,5.22098
16.5095,5.21265
16.5268,5.20434
16.5441,5.19605
16.5613,5.18779
16.5786,5.17954
16.5959,5.17132
16.6132,5.16312
16.6305,5.15494
16.6478,5.14678
16.6651,5.13864
16.6824,5.13052
16.6996,5.12242
16.7169,5.11435
16.7342,5.10629
16.7515,5.09826
16.7688,5.09024
16.7861,5.08225
16.8034,5.07427
16.8207,5.06632
16.8379,5.05839
16.8552,5.05048
16.8725,5.04258
16.8898,5.03471
16.9071,5.02686
16.9244,5.01903
16.9417,5.01121
16.959,5.00342
16.9762,4.99565
16.9935,4.98789
17.0108,4.98016
17.0281,4.97245
17.0454,4.96475
17.0627,4.95708
17.08,4.94942
17.0972,4.94178
17.1145,4.93417
17.1318,4.92657
17.1491,4.91899
17.1664,4.91143
17.1837,4.90389
17.201,4.89636
17.2183,4.88886
17.2355,4.88138
17.2528,4.87391
17.2701,4.86646
17.2874,4.85903
17.3047,4.85162
17.322,4.84423
17.3393,4.83686
17.3566,4.8295
17.3738,4.82216
17.3911,4.81485
17.4084,4.80755
17.4257,4.80026
17.443,4.793
17.4603,4.78575
17.4776,4.77852
17.4949,4.77131
17.5121,4.76412
17.5294,4.75694
17.5467,4.74979
17.564,4.74264
17.5813,4.73552
17.5986,4.72842
17.6159,4.72133
17.6332,4.71426
17.6504,4.70721
17.6677,4.70017
17.685,4.69315
17.7023,4.68615
17.7196,4.67917
17.7369,4.6722
17.7542,4.66525
17.7715,4.65831
17.7887,4.6514
17.806,4.6445
17.8233,4.63761
17.8406,4.63075
17.8579,4.6239
17.8752,4.61706
17.8925,4.61025
17.9098,4.60345
17.927,4.59666
17.9443,4.5899
17.9616,4.58315
17.9789,4.57641
17.9962,4.56969
18.0135,4.56299
18.0308,4.5563
18.0481,4.54963
18.0653,4.54298
18.0826,4.53634
18.0999,4.52972
18.1172,4.52311
18.1345,4.51652
18.1518,4.50994
18.1691,4.50338
18.1864,4.49684
18.2036,4.49031
18.2209,4.4838
18.2382,4.4773
18.2555,4.47082
18.2728,4.46435
18.2901,4.4579
18.3074,4.45147
18.3247,4.44505
18.3419,4.43864
18.3592,4.43225
18.3765,4.42587
18.3938,4.41951
18.4111,4.41317
18.4284,4.40684
18.4457,4.40052
18.463,4.39422
18.4802,4.38794
18.4975,4.38167
18.5148,4.37541
18.5321,4.36917
18.5494,4.36294
18.5667,4.35673
18.584,4.35053
18.6013,4.34435
18.6185,4.33818
18.6358,4.33202
18.6531,4.32588
18.6704,4.31976
18.6877,4.31365
18.705,4.30755
18.7223,4.30146
18.7288,4.29917
