l_dm,p_MPa
11.9984,12.6297
12.0358,12.5965
12.0732,12.5636
12.1107,12.5307
12.1482,12.498
12.1857,12.4654
12.2233,12.433
12.2609,12.4006
12.2985,12.3684
12.3361,12.3363
12.3738,12.3043
12.4115,12.2725
12.4493,12.2408
12.487,12.2092
12.5248,12.1777
12.5626,12.1463
12.6005,12.1151
12.6384,12.084
12.6763,12.053
12.7143,12.0221
12.7522,11.9914
12.7902,11.9607
12.8283,11.9302
12.8663,11.8998
12.9044,11.8695
12.9425,11.8393
12.9807,11.8092
13.0189,11.7793
13.0571,11.7495
13.0953,11.7197
13.1336,11.6901
13.1718,11.6606
13.2102,11.6312
13.2485,11.602
13.2869,11.5728
13.3253,11.5438
13.3637,11.5148
13.4022,11.486
13.4407,11.4573
13.4792,11.4286
13.5177,11.4001
13.5563,11.3717
13.5949,11.3434
13.6335,11.3152
13.6722,11.2871
13.7109,11.2592
13.7496,11.2313
13.7883,11.2035
13.8271,11.1759
13.8659,11.1483
13.9047,11.1208
13.9435,11.0935
13.9824,11.0662
14.0213,11.0391
14.0602,11.012
14.0992,10.9851
14.1381,10.9582
14.1771,10.9314
14.2162,10.9048
14.2552,10.8782
14.2943,10.8518
14.3334,10.8254
14.3726,10.7991
14.4117,10.773
14.4509,10.7469
14.4901,10.7209
14.5294,10.6951
14.5686,10.6693
14.6079,10.6436
14.6473,10.618
14.6866,10.5925
14.726,10.5671
14.7654,10.5417
14.8048,10.5165
14.8442,10.4914
14.8837,10.4663
14.9232,10.4414
14.9627,10.4165
15.0023,10.3918
15.0419,10.3671
15.0815,10.3425
15.1211,10.318
15.1607,10.2936
15.2004,10.2693
15.2401,10.245
15.2798,10.2209
15.3196,10.1968
15.3594,10.1728
15.3992,10.149
15.439,10.1252
15.4788,10.1014
15.5187,10.0778
15.5586,10.0543
15.5985,10.0308
15.6385,10.0074
15.6784,9.98412
15.7184,9.96091
15.7585,9.93778
15.7985,9.91473
15.8386,9.89176
15.8787,9.86888
15.9188,9.84608
15.9589,9.82336
15.9991,9.80072
16.0393,9.77816
16.0795,9.75568
16.1197,9.73328
16.16,9.71095
16.2003,9.68871
16.2406,9.66655
16.2809,9.64446
16.3212,9.62245
16.3616,9.60052
16.402,9.57866
16.4424,9.55689
16.4829,9.53518
16.5234,9.51356
16.5638,9.49201
16.6044,9.47053
16.6449,9.44914
16.6855,9.42781
16.726,9.40656
16.7667,9.38538
16.8073,9.36428
16.8479,9.34325
16.8886,9.32229
16.9293,9.30141
16.97,9.2806
17.0108,9.25986
17.0515,9.23919
17.0923,9.2186
17.1331,9.19807
17.174,9.17762
17.2148,9.15723
17.2557,9.13692
17.2966,9.11667
17.3375,9.0965
17.3785,9.07639
17.4194,9.05636
17.4604,9.03639
17.5014,9.01649
17.5425,8.99666
17.5613,8.98759
17.5835,8.97685
17.6246,8.95707
17.6657,8.93736
17.7068,8.91772
17.7479,8.89815
17.7891,8.87864
17.8303,8.8592
17.8715,8.83982
17.9127,8.82051
17.954,8.80127
17.9952,8.78209
18.0365,8.76298
18.0778,8.74393
18.1192,8.72495
18.1605,8.70603
18.2019,8.68717
18.2433,8.66838
18.2847,8.64966
18.3262,8.63099
18.3676,8.61239
18.4091,8.59385
18.4506,8.57538
18.4921,8.55696
18.5337,8.53861
18.5752,8.52032
18.6168,8.50209
18.6584,8.48392
18.7001,8.46582
18.7417,8.44777
18.7834,8.42979
18.8251,8.41186
18.8668,8.39399
18.9085,8.37619
18.9502,8.35844
18.992,8.34075
19.0338,8.32312
19.0756,8.30555
19.1174,8.28804
19.1593,8.27058
19.2012,8.25318
19.2431,8.23584
19.285,8.21856
19.3269,8.20133
