l_dm,v_m_s
25.9995,257.915
26.0441,258.001
26.0888,258.087
26.1334,258.172
26.178,258.257
26.2227,258.342
26.2673,258.427
26.312,258.512
26.3567,258.597
26.4014,258.681
26.4462,258.766
26.4909,258.85
26.5357,258.934
26.5804,259.018
26.6252,259.102
26.67,259.185
26.7148,259.269
26.7596,259.352
26.8045,259.436
26.8493,259.519
26.8942,259.602
26.9391,259.684
26.984,259.767
27.0289,259.849
27.0738,259.932
27.1188,260.014
27.1637,260.096
27.2087,260.178
27.2537,260.26
27.2987,260.342
27.3437,260.423
27.3887,260.504
27.4338,260.586
27.4788,260.667
27.5239,260.748
27.569,260.829
27.6141,260.909
27.6592,260.99
27.7043,261.07
27.7495,261.151
27.7946,261.231
27.8398,261.311
27.885,261.391
27.9302,261.47
27.9754,261.55
28.0206,261.629
28.0658,261.709
28.1111,261.788
28.1563,261.867
28.2016,261.946
28.2469,262.025
28.2922,262.104
28.3375,262.182
28.3829,262.261
28.4282,262.339
28.4736,262.417
28.5189,262.495
28.5643,262.573
28.6097,262.651
28.6551,262.728
28.7006,262.806
28.746,262.883
28.7914,262.961
28.8369,263.038
28.8824,263.115
28.9279,263.192
28.9734,263.268
29.0189,263.345
29.0644,263.421
29.11,263.498
29.1555,263.574
29.2011,263.65
29.2467,263.726
29.2923,263.802
29.3379,263.878
29.3835,263.954
29.4292,264.029
29.4748,264.104
29.5205,264.18
29.5662,264.255
29.6119,264.33
29.6576,264.405
29.7033,264.48
29.749,264.554
29.7947,264.629
29.8405,264.703
29.8863,264.777
29.932,264.852
29.9778,264.926
30.0236,265
30.0695,265.073
30.1153,265.147
30.1611,265.221
30.207,265.294
30.2529,265.368
30.2987,265.441
30.3446,265.514
30.3905,265.587
30.4365,265.66
30.4824,265.733
30.5283,265.805
30.5743,265.878
30.6203,265.95
30.6662,266.023
30.7122,266.095
30.7582,266.167
30.8043,266.239
30.8503,266.311
30.8963,266.382
30.9424,266.454
30.9885,266.526
31.0345,266.597
31.0806,266.668
31.1267,266.739
31.1729,266.81
31.219,266.881
31.2651,266.952
31.3113,267.023
31.3575,267.094
31.4036,267.164
31.4498,267.235
31.496,267.305
31.5423,267.375
31.5885,267.445
31.6347,267.515
31.681,267.585
31.7272,267.655
31.7735,267.724
31.8198,267.794
31.8661,267.863
31.9124,267.933
31.9587,268.002
32.0051,268.071
32.0514,268.14
32.0978,268.209
32.1442,268.278
32.1905,268.346
32.2369,268.415
32.2833,268.483
32.3298,268.552
32.3762,268.62
32.4226,268.688
32.4691,268.756
32.5156,268.824
32.562,268.892
32.6085,268.96
32.655,269.028
32.7016,269.095
32.7481,269.162
32.7946,269.23
32.8412,269.297
32.8877,269.364
32.9343,269.431
32.9809,269.498
33.0275,269.565
33.0741,269.632
33.1207,269.698
33.1673,269.765
33.214,269.831
33.2606,269.898
33.3073,269.964
33.354,270.03
33.4006,270.096
33.4473,270.162
33.4941,270.228
33.5408,270.294
33.5875,270.359
33.6343,270.425
33.681,270.49
33.7278,270.556
33.7746,270.621
33.8213,270.686
33.8681,270.751
33.915,270.816
33.9618,270.881
34.0086,270.946
34.0555,271.01
34.1023,271.075
34.1492,271.139
34.1961,271.204
34.2429,271.268
34.2898,271.332
34.3368,271.397
34.3837,271.461
34.4306,271.524
34.4776,271.588
34.5245,271.652
34.5715,271.716
34.6185,271.779
34.6655,271.843
34.7125,271.906
34.7595,271.969
34.8065,272.033
34.8535,272.096
34.9006,272.159
34.9476,272.222
34.9947,272.284
35.0418,272.347
35.0888,272.41
35.1359,272.472
35.1831,272.535
35.2302,272.597
35.2773,272.659
35.3244,272.722
35.3716,272.784
35.4188,272.846
35.4659,272.908
35.5131,272.969
35.5603,273.031
35.6075,273.093
35.6547,273.154
35.702,273.216
35.7492,273.277
35.7964,273.339
35.8437,273.4
35.891,273.461
35.9382,273.522
35.9855,273.583
36.0328,273.644
36.0802,273.705
36.1275,273.765
36.1748,273.826
36.2221,273.886
36.24,273.909
